scata	Taxon	Sci_Name	Rank	mock	Kingdom	Phylum	Subphylum	Class	Order	Family	Genus	Species	abbrev	taxon_notes	guild	emf	primary_lifestyle_phylum	Decay_type	Decay_Lifestyle	guild_notes	reference
scata4703_17	Vaccinium_myrtillus	Vaccinium_myrtillus	26	FALSE	Plantae	Angiosperms	Eudicot	Eudicotyledonae	Ericales	Ericaceae	Vaccinium	myrtillus			plants	0	plants Angiosperms	other			___
scata4703_26	Calluna_vulgaris	Calluna_vulgaris	27	FALSE	Plantae	Angiosperms	Eudicot	Eudicotyledonae	Ericales	Ericaceae	Calluna	vulgaris			plants	0	plants Angiosperms	other			___
scata4703_37	Hyaloscypha_variabilis	Hyaloscypha_variabilis	28	FALSE	Fungi	Ascomycota	Pezizomycotina	Leotiomycetes	Leotiomycetes order incertae sedis	Hyaloscyphaceae	Hyaloscypha	variabilis			ericoid- ectomycorrhizas	0	other root-associated ascomycota	other	litter_ascomycetes	put. ericoid ecto	SH1523754.08FU_394.7_Hyaloscypha variabilis_98.34
scata4703_36	Umbelopsis_ramanniana	Umbelopsis_ramanniana	29	FALSE	Fungi	Zygomycota	Mucoromycotina	Mucoromycetes	Mucorales	Umbelopsidaceae	Umbelopsis	ramanniana			moulds and yeasts	0	moulds and yeasts	other	mold_soil_saprotroph_zygomycetes		_401.6_Umbelopsis_89.03
scata4703_30	Hyaloscyphaceae_sp	Hyaloscyphaceae_sp1	30	FALSE	Fungi	Ascomycota	Pezizomycotina	Leotiomycetes	Leotiomycetes order incertae sedis	Hyaloscyphaceae	Hyphodiscus				saprotrophs other	0	other root-associated ascomycota	other	litter_ascomycetes		SH1522972.08FU_314_Hyphodiscus hymeniophilus_91.43
scata4703_32	Infundichalara_minuta	Infundichalara_minuta	31	FALSE	Fungi	Ascomycota	Pezizomycotina	Leotiomycetes	Leotiomycetes order incertae sedis	Hyaloscyphaceae	Infundichalara	minuta			saprotrophs other	0	litter saprotrophic ascomycota	other	litter_ascomycetes		SH1522493.08FU
scata4703_31	Oidiodendron_periconioides	Oidiodendron_periconioides	32	FALSE	Fungi	Ascomycota	Pezizomycotina	Leotiomycetes	Leotiomycetes order incertae sedis	Myxotrichaceae	Oidiodendron	periconioides			other root-associates	0	other root-associated ascomycota	other	soil_saprotroph_ascomycetes		SH1522953.08FU_264.2_Bisporella citrina_87.92
scata4703_33	Phacidium_lacerum	Phacidium_lacerum	33	FALSE	Fungi	Ascomycota	Pezizomycotina	Leotiomycetes	Phacidiales	Phacidaceae	Phacidium	lacerum			saprotrophs other	0	litter saprotrophic ascomycota	other	litter_ascomycetes		SH1509514.08FU
scata4703_23	Vaccinium_vitis-idaea	Vaccinium_vitis-idaea	34	FALSE	Plantae	Angiosperms	Eudicot	Eudicotyledonae	Ericales	Ericaceae	Vaccinium	vitis-idaea			plants	0	plants Angiosperms	other			___
scata4703_24	Sugiyamaella_paludigena	Sugiyamaella_paludigena	35	FALSE	Fungi	Ascomycota	Saccharomycotina	Saccharomycetes	Saccharomycetales	Trichomonascaceae	Sugiyamaella	paludigena			moulds and yeasts	0	moulds and yeasts	other	animal_endosymbiont_ascomycetes		SH2713350.08FU_159.5_Saccharomycetales_92.44
scata4703_25	Umbelopsis_isabellina	Umbelopsis_isabellina	36	FALSE	Fungi	Zygomycota	Mucoromycotina	Mucoromycetes	Mucorales	Umbelopsidaceae	Umbelopsis	isabellina			moulds and yeasts	0	moulds and yeasts	other	mold_soil_saprotroph_zygomycetes		SH1522249.08FU_497.7_Umbelopsis_100
scata4703_35	Hyaloscypha_sp	Hyaloscypha_sp1	37	FALSE	Fungi	Ascomycota	Pezizomycotina	Leotiomycetes	Leotiomycetes order incertae sedis	Hyaloscyphaceae	Hyaloscypha	sp.			ericoid- ectomycorrhizas	0	other root-associated ascomycota	other	root_ascomycetes	put. ericoid  ecto	SH1522958.08FU
